idx,doi,status
4,10.1002/batt.201700004,success
5,10.1002/batt.201700007,success
1,10.1002/batt.201900077,success
2,10.1002/batt.201700001,success
6,10.1002/batt.201800012,success
3,10.1002/batt.201700002,success
7,10.1002/batt.201800013,success
12,10.1002/batt.201800029,success
13,10.1002/batt.201800036,success
14,10.1002/batt.201800037,success
9,10.1002/batt.201800018,success
10,10.1002/batt.201800022,success
16,10.1002/batt.201800043,success
15,10.1002/batt.201800042,success
17,10.1002/batt.201800044,success
19,10.1002/batt.201800047,success
21,10.1002/batt.201800072,success
22,10.1002/batt.201800073,success
23,10.1002/batt.201800078,success
20,10.1002/batt.201800068,success
24,10.1002/batt.201800082,success
27,10.1002/batt.201800089,success
25,10.1002/batt.201800083,success
28,10.1002/batt.201800091,success
26,10.1002/batt.201800084,success
29,10.1002/batt.201800092,success
30,10.1002/batt.201800093,success
32,10.1002/batt.201800095,success
33,10.1002/batt.201800096,success
31,10.1002/batt.201800094,success
34,10.1002/batt.201800098,success
8,10.1002/batt.201800014,success
35,10.1002/batt.201800099,success
36,10.1002/batt.201800102,success
38,10.1002/batt.201800105,success
37,10.1002/batt.201800104,success
42,10.1002/batt.201800109,success
40,10.1002/batt.201800107,success
43,10.1002/batt.201800111,success
41,10.1002/batt.201800108,success
44,10.1002/batt.201800112,success
39,10.1002/batt.201800106,success
46,10.1002/batt.201800114,success
45,10.1002/batt.201800113,success
47,10.1002/batt.201800115,success
49,10.1002/batt.201800118,success
50,10.1002/batt.201800119,success
51,10.1002/batt.201800120,success
52,10.1002/batt.201800121,success
53,10.1002/batt.201800122,success
54,10.1002/batt.201800123,success
55,10.1002/batt.201800126,success
56,10.1002/batt.201800127,success
58,10.1002/batt.201800137,success
57,10.1002/batt.201800133,success
59,10.1002/batt.201800138,success
62,10.1002/batt.201800142,success
63,10.1002/batt.201800143,success
64,10.1002/batt.201800144,success
61,10.1002/batt.201800141,success
65,10.1002/batt.201800145,success
66,10.1002/batt.201800146,success
68,10.1002/batt.201800148,success
69,10.1002/batt.201800149,success
70,10.1002/batt.201800150,success
71,10.1002/batt.201800152,success
72,10.1002/batt.201900001,success
73,10.1002/batt.201900005,success
74,10.1002/batt.201900006,success
60,10.1002/batt.201800140,success
75,10.1002/batt.201900007,success
76,10.1002/batt.201900008,success
18,10.1002/batt.201800045,success
77,10.1002/batt.201900010,success
78,10.1002/batt.201900011,success
80,10.1002/batt.201900014,success
79,10.1002/batt.201900012,success
82,10.1002/batt.201900017,success
81,10.1002/batt.201900015,success
83,10.1002/batt.201900018,success
84,10.1002/batt.201900019,success
85,10.1002/batt.201900020,success
87,10.1002/batt.201900025,success
86,10.1002/batt.201900022,success
89,10.1002/batt.201900027,success
88,10.1002/batt.201900026,success
90,10.1002/batt.201900028,success
93,10.1002/batt.201900038,success
94,10.1002/batt.201900039,success
95,10.1002/batt.201900040,success
92,10.1002/batt.201900035,success
97,10.1002/batt.201900042,success
98,10.1002/batt.201900043,success
67,10.1002/batt.201800147,success
99,10.1002/batt.201900048,success
96,10.1002/batt.201900041,success
101,10.1002/batt.201900061,success
100,10.1002/batt.201900050,success
91,10.1002/batt.201900030,success
48,10.1002/batt.201800116,success
11,10.1002/batt.201800024,success
